tag,id,name,classes,text,xpath
"span","","","badge pull-right","","/html/body/section[2]/div/div/div/div/div/div/div/h4/a/span"
"span","","","badge pull-right","","/html/body/section[2]/div/div/div/div/div/div[2]/div/h4/a/span"
"span","","","badge pull-right","","/html/body/section[2]/div/div/div/div/div/div[3]/div/h4/a/span"
"span","","","pull-right","(6)","/html/body/section[2]/div/div/div/div/div[3]/div/ul/li/a/span"
"span","","","pull-right","(5)","/html/body/section[2]/div/div/div/div/div[3]/div/ul/li[2]/a/span"
"span","","","pull-right","(5)","/html/body/section[2]/div/div/div/div/div[3]/div/ul/li[3]/a/span"
"span","","","pull-right","(3)","/html/body/section[2]/div/div/div/div/div[3]/div/ul/li[4]/a/span"
"span","","","pull-right","(4)","/html/body/section[2]/div/div/div/div/div[3]/div/ul/li[5]/a/span"
"span","","","pull-right","(3)","/html/body/section[2]/div/div/div/div/div[3]/div/ul/li[6]/a/span"
"span","","","pull-right","(3)","/html/body/section[2]/div/div/div/div/div[3]/div/ul/li[7]/a/span"
"span","","","pull-right","(5)","/html/body/section[2]/div/div/div/div/div[3]/div/ul/li[8]/a/span"
"div","","","header-middle","Home
								 Products
								 Cart
								
								 Signup / Login
								
								 Test Cases
								 API Testing","/html/body/header/div"
"div","","","container","Home
								 Products
								 Cart
								
								 Signup / Login
								
								 Test Cases
								 API Testing","/html/body/header/div/div"
"div","","","row","Home
								 Products
								 Cart
								
								 Signup / Login
								
								 Test Cases
								 API Testing","/html/body/header/div/div/div"
"div","","","col-sm-4","","/html/body/header/div/div/div/div"
"div","","","logo pull-left","","/html/body/header/div/div/div/div/div"
"div","","","col-sm-8","Home
								 Products
								 Cart
								
								 Signup / Login
								
								 Test Cases
								 API Testing","/html/body/header/div/div/div/div[2]"
"div","","","shop-menu pull-right","Home
								 Products
								 Cart
								
								 Signup / Login
								
								 Test Cases
								 API Testing","/html/body/header/div/div/div/div[2]/div"
"div","","","container","AutomationExercise
									Full-Fledged practice website for Automation Engineers
									All QA engineers can use thi","/html/body/section/div"
"div","","","row","AutomationExercise
									Full-Fledged practice website for Automation Engineers
									All QA engineers can use thi","/html/body/section/div/div"
"div","","","col-sm-12","AutomationExercise
									Full-Fledged practice website for Automation Engineers
									All QA engineers can use thi","/html/body/section/div/div/div"
"div","slider-carousel","","carousel slide","AutomationExercise
									Full-Fledged practice website for Automation Engineers
									All QA engineers can use thi","//*[@id=slider-carousel]"
"div","","","carousel-inner","AutomationExercise
									Full-Fledged practice website for Automation Engineers
									All QA engineers can use thi","/html/body/section/div/div/div/div/div"
"div","","","item active","AutomationExercise
									Full-Fledged practice website for Automation Engineers
									All QA engineers can use thi","/html/body/section/div/div/div/div/div/div"
"div","","","col-sm-6","AutomationExercise
									Full-Fledged practice website for Automation Engineers
									All QA engineers can use thi","/html/body/section/div/div/div/div/div/div/div"
"div","","","col-sm-6","","/html/body/section/div/div/div/div/div/div/div[2]"
"div","","","item","AutomationExercise
									Full-Fledged practice website for Automation Engineers
									All QA engineers can use thi","/html/body/section/div/div/div/div/div/div[2]"
"div","","","col-sm-6","AutomationExercise
									Full-Fledged practice website for Automation Engineers
									All QA engineers can use thi","/html/body/section/div/div/div/div/div/div[2]/div"
"div","","","col-sm-6","","/html/body/section/div/div/div/div/div/div[2]/div[2]"
"div","","","item","AutomationExercise
									Full-Fledged practice website for Automation Engineers
									All QA engineers can use thi","/html/body/section/div/div/div/div/div/div[3]"
"div","","","col-sm-6","AutomationExercise
									Full-Fledged practice website for Automation Engineers
									All QA engineers can use thi","/html/body/section/div/div/div/div/div/div[3]/div"
